user,num_features,num_edges,latlon_tru,latlon_pred,haversine_distance,acc_at_161,percent
user_001ac628,0,0,"[33.958969, -118.30278]","[32.966581500000004, -96.941848]",1981.0195116500304,0.0,0
user_001ac628,9,0,"[33.958969, -118.30278]","[32.966581500000004, -96.941848]",1981.0195116500304,0.0,5
user_001ac628,18,1,"[33.958969, -118.30278]","[32.966581500000004, -96.941848]",1981.0195116500304,0.0,10
user_001ac628,36,2,"[33.958969, -118.30278]","[32.966581500000004, -96.941848]",1981.0195116500304,0.0,20
user_001ac628,71,5,"[33.958969, -118.30278]","[32.966581500000004, -96.941848]",1981.0195116500304,0.0,40
user_001ac628,106,7,"[33.958969, -118.30278]","[32.966581500000004, -96.941848]",1981.0195116500304,0.0,60
user_001ac628,141,10,"[33.958969, -118.30278]","[32.966581500000004, -96.941848]",1981.0195116500304,0.0,80
user_001ac628,176,12,"[33.958969, -118.30278]","[32.966581500000004, -96.941848]",1981.0195116500304,0.0,100
user_002ac912,0,0,"[40.702701, -73.74470500000001]","[41.916661, -71.40430400000001]",237.54366764196948,0.0,0
user_002ac912,7,1,"[40.702701, -73.74470500000001]","[41.916661, -71.40430400000001]",237.54366764196948,0.0,5
user_002ac912,13,3,"[40.702701, -73.74470500000001]","[41.916661, -71.40430400000001]",237.54366764196948,0.0,10
user_002ac912,26,6,"[40.702701, -73.74470500000001]","[41.916661, -71.40430400000001]",237.54366764196948,0.0,20
user_002ac912,52,13,"[40.702701, -73.74470500000001]","[41.916661, -71.40430400000001]",237.54366764196948,0.0,40
user_002ac912,77,20,"[40.702701, -73.74470500000001]","[41.916661, -71.40430400000001]",237.54366764196948,0.0,60
user_002ac912,103,27,"[40.702701, -73.74470500000001]","[41.916661, -71.40430400000001]",237.54366764196948,0.0,80
user_002ac912,128,33,"[40.702701, -73.74470500000001]","[41.916661, -71.40430400000001]",237.54366764196948,0.0,100
user_003607fa,0,0,"[25.958833, -80.212882]","[25.973882, -80.242374]",3.390097301206325,1.0,0
user_003607fa,3,0,"[25.958833, -80.212882]","[25.973882, -80.242374]",3.390097301206325,1.0,5
user_003607fa,6,0,"[25.958833, -80.212882]","[25.973882, -80.242374]",3.390097301206325,1.0,10
user_003607fa,12,1,"[25.958833, -80.212882]","[25.973882, -80.242374]",3.390097301206325,1.0,20
user_003607fa,24,2,"[25.958833, -80.212882]","[30.248988500000003, -82.335955]",520.4773358962004,0.0,40
user_003607fa,36,4,"[25.958833, -80.212882]","[30.248988500000003, -82.335955]",520.4773358962004,0.0,60
user_003607fa,48,5,"[25.958833, -80.212882]","[33.935105, -118.29469]",3752.1076330904193,0.0,80
user_003607fa,60,6,"[25.958833, -80.212882]","[33.935105, -118.29469]",3752.1076330904193,0.0,100
user_00839c9b,0,0,"[40.70301, -74.094769]","[34.393699999999995, -118.24542149999999]",3913.15317991553,0.0,0
user_00839c9b,5,0,"[40.70301, -74.094769]","[34.393699999999995, -118.24542149999999]",3913.15317991553,0.0,5
user_00839c9b,9,1,"[40.70301, -74.094769]","[34.393699999999995, -118.24542149999999]",3913.15317991553,0.0,10
user_00839c9b,18,2,"[40.70301, -74.094769]","[38.485291, -122.137948]",4072.3280070144856,0.0,20
user_00839c9b,35,5,"[40.70301, -74.094769]","[34.393699999999995, -118.24542149999999]",3913.15317991553,0.0,40
user_00839c9b,52,7,"[40.70301, -74.094769]","[32.966581500000004, -96.941848]",2199.4723043494423,0.0,60
user_00839c9b,69,10,"[40.70301, -74.094769]","[34.393699999999995, -118.24542149999999]",3913.15317991553,0.0,80
user_00839c9b,86,12,"[40.70301, -74.094769]","[34.393699999999995, -118.24542149999999]",3913.15317991553,0.0,100
user_0089c6ed,0,0,"[40.833397, -73.916811]","[40.767058, -73.997]",9.998689197234983,1.0,0
user_0089c6ed,5,3,"[40.833397, -73.916811]","[40.767058, -73.997]",9.998689197234983,1.0,5
user_0089c6ed,10,7,"[40.833397, -73.916811]","[40.767058, -73.997]",9.998689197234983,1.0,10
user_0089c6ed,20,14,"[40.833397, -73.916811]","[40.767058, -73.997]",9.998689197234983,1.0,20
user_0089c6ed,40,29,"[40.833397, -73.916811]","[40.9112535, -73.7748885]",14.74275214348623,1.0,40
user_0089c6ed,60,44,"[40.833397, -73.916811]","[40.767058, -73.997]",9.998689197234983,1.0,60
user_0089c6ed,80,59,"[40.833397, -73.916811]","[40.767058, -73.997]",9.998689197234983,1.0,80
user_0089c6ed,99,74,"[40.833397, -73.916811]","[40.9112535, -73.7748885]",14.74275214348623,1.0,100
user_00b5310f,0,0,"[30.172103999999997, -97.82860699999999]","[40.9112535, -73.7748885]",2470.526594889558,0.0,0
user_00b5310f,4,0,"[30.172103999999997, -97.82860699999999]","[40.9112535, -73.7748885]",2470.526594889558,0.0,5
user_00b5310f,7,0,"[30.172103999999997, -97.82860699999999]","[40.9112535, -73.7748885]",2470.526594889558,0.0,10
user_00b5310f,14,0,"[30.172103999999997, -97.82860699999999]","[40.9112535, -73.7748885]",2470.526594889558,0.0,20
user_00b5310f,27,0,"[30.172103999999997, -97.82860699999999]","[40.9112535, -73.7748885]",2470.526594889558,0.0,40
user_00b5310f,40,1,"[30.172103999999997, -97.82860699999999]","[40.0097845, -75.15243749999999]",2325.675079344812,0.0,60
user_00b5310f,53,1,"[30.172103999999997, -97.82860699999999]","[40.0097845, -75.15243749999999]",2325.675079344812,0.0,80
user_00b5310f,66,1,"[30.172103999999997, -97.82860699999999]","[40.0097845, -75.15243749999999]",2325.675079344812,0.0,100
user_00bc828f,0,0,"[40.825037, -73.86694]","[39.307559999999995, -76.65441700000001]",291.07459979968513,0.0,0
user_00bc828f,6,0,"[40.825037, -73.86694]","[39.307559999999995, -76.65441700000001]",291.07459979968513,0.0,5
user_00bc828f,12,1,"[40.825037, -73.86694]","[39.307559999999995, -76.65441700000001]",291.07459979968513,0.0,10
user_00bc828f,23,2,"[40.825037, -73.86694]","[39.307559999999995, -76.65441700000001]",291.07459979968513,0.0,20
user_00bc828f,45,5,"[40.825037, -73.86694]","[39.307559999999995, -76.65441700000001]",291.07459979968513,0.0,40
user_00bc828f,67,7,"[40.825037, -73.86694]","[39.307559999999995, -76.65441700000001]",291.07459979968513,0.0,60
user_00bc828f,89,10,"[40.825037, -73.86694]","[41.916661, -71.40430400000001]",238.65440905216514,0.0,80
user_00bc828f,111,12,"[40.825037, -73.86694]","[38.935939499999996, -77.024115]",341.5738259261401,0.0,100
user_00c14333,0,0,"[41.062402, -81.51817700000001]","[41.446424, -81.536098]",42.72762812271863,1.0,0
user_00c14333,4,0,"[41.062402, -81.51817700000001]","[41.446424, -81.536098]",42.72762812271863,1.0,5
user_00c14333,7,1,"[41.062402, -81.51817700000001]","[41.446424, -81.536098]",42.72762812271863,1.0,10
user_00c14333,14,2,"[41.062402, -81.51817700000001]","[41.446424, -81.536098]",42.72762812271863,1.0,20
user_00c14333,27,5,"[41.062402, -81.51817700000001]","[41.446424, -81.536098]",42.72762812271863,1.0,40
user_00c14333,40,8,"[41.062402, -81.51817700000001]","[41.446424, -81.536098]",42.72762812271863,1.0,60
user_00c14333,53,11,"[41.062402, -81.51817700000001]","[40.0097845, -75.15243749999999]",550.4032751211316,0.0,80
user_00c14333,66,14,"[41.062402, -81.51817700000001]","[40.0097845, -75.15243749999999]",550.4032751211316,0.0,100
user_00d789e9,0,0,"[36.774875, -79.68382]","[38.485291, -122.137948]",3710.2052103220503,0.0,0
user_00d789e9,3,0,"[36.774875, -79.68382]","[38.485291, -122.137948]",3710.2052103220503,0.0,5
user_00d789e9,6,0,"[36.774875, -79.68382]","[38.485291, -122.137948]",3710.2052103220503,0.0,10
user_00d789e9,11,0,"[36.774875, -79.68382]","[38.485291, -122.137948]",3710.2052103220503,0.0,20
user_00d789e9,22,0,"[36.774875, -79.68382]","[38.485291, -122.137948]",3710.2052103220503,0.0,40
user_00d789e9,33,1,"[36.774875, -79.68382]","[38.485291, -122.137948]",3710.2052103220503,0.0,60
user_00d789e9,44,1,"[36.774875, -79.68382]","[38.485291, -122.137948]",3710.2052103220503,0.0,80
user_00d789e9,54,1,"[36.774875, -79.68382]","[38.485291, -122.137948]",3710.2052103220503,0.0,100
user_00e121e4,0,0,"[29.920721, -90.116249]","[33.187655500000005, -90.102037]",363.26953844448343,0.0,0
