user,num_users,latlon_tru,latlon_pred,haversine_distance,acc_at_161,percent
user_001ac628,0,"[33.958969, -118.30278]","[32.966581500000004, -96.941848]",1981.0195116500304,0.0,0
user_001ac628,0,"[33.958969, -118.30278]","[32.966581500000004, -96.941848]",1981.0195116500304,0.0,5
user_001ac628,1,"[33.958969, -118.30278]","[32.966581500000004, -96.941848]",1981.0195116500304,0.0,10
user_001ac628,2,"[33.958969, -118.30278]","[32.966581500000004, -96.941848]",1981.0195116500304,0.0,20
user_001ac628,5,"[33.958969, -118.30278]","[32.966581500000004, -96.941848]",1981.0195116500304,0.0,40
user_001ac628,7,"[33.958969, -118.30278]","[32.966581500000004, -96.941848]",1981.0195116500304,0.0,60
user_001ac628,10,"[33.958969, -118.30278]","[32.966581500000004, -96.941848]",1981.0195116500304,0.0,80
user_001ac628,12,"[33.958969, -118.30278]","[32.966581500000004, -96.941848]",1981.0195116500304,0.0,100
user_002ac912,0,"[40.702701, -73.74470500000001]","[41.916661, -71.40430400000001]",237.54366764196948,0.0,0
user_002ac912,1,"[40.702701, -73.74470500000001]","[41.916661, -71.40430400000001]",237.54366764196948,0.0,5
user_002ac912,3,"[40.702701, -73.74470500000001]","[41.916661, -71.40430400000001]",237.54366764196948,0.0,10
user_002ac912,6,"[40.702701, -73.74470500000001]","[41.916661, -71.40430400000001]",237.54366764196948,0.0,20
user_002ac912,13,"[40.702701, -73.74470500000001]","[41.916661, -71.40430400000001]",237.54366764196948,0.0,40
user_002ac912,20,"[40.702701, -73.74470500000001]","[41.916661, -71.40430400000001]",237.54366764196948,0.0,60
user_002ac912,27,"[40.702701, -73.74470500000001]","[41.916661, -71.40430400000001]",237.54366764196948,0.0,80
user_002ac912,33,"[40.702701, -73.74470500000001]","[41.916661, -71.40430400000001]",237.54366764196948,0.0,100
user_003607fa,0,"[25.958833, -80.212882]","[25.973882, -80.242374]",3.390097301206325,1.0,0
user_003607fa,0,"[25.958833, -80.212882]","[25.973882, -80.242374]",3.390097301206325,1.0,5
user_003607fa,0,"[25.958833, -80.212882]","[25.973882, -80.242374]",3.390097301206325,1.0,10
user_003607fa,1,"[25.958833, -80.212882]","[25.973882, -80.242374]",3.390097301206325,1.0,20
user_003607fa,2,"[25.958833, -80.212882]","[25.973882, -80.242374]",3.390097301206325,1.0,40
user_003607fa,4,"[25.958833, -80.212882]","[33.935105, -118.29469]",3752.1076330904193,0.0,60
user_003607fa,5,"[25.958833, -80.212882]","[33.935105, -118.29469]",3752.1076330904193,0.0,80
user_003607fa,6,"[25.958833, -80.212882]","[33.935105, -118.29469]",3752.1076330904193,0.0,100
user_00839c9b,0,"[40.70301, -74.094769]","[34.393699999999995, -118.24542149999999]",3913.15317991553,0.0,0
user_00839c9b,0,"[40.70301, -74.094769]","[34.393699999999995, -118.24542149999999]",3913.15317991553,0.0,5
user_00839c9b,1,"[40.70301, -74.094769]","[34.393699999999995, -118.24542149999999]",3913.15317991553,0.0,10
user_00839c9b,2,"[40.70301, -74.094769]","[34.393699999999995, -118.24542149999999]",3913.15317991553,0.0,20
user_00839c9b,5,"[40.70301, -74.094769]","[32.966581500000004, -96.941848]",2199.4723043494423,0.0,40
user_00839c9b,7,"[40.70301, -74.094769]","[34.393699999999995, -118.24542149999999]",3913.15317991553,0.0,60
user_00839c9b,10,"[40.70301, -74.094769]","[32.966581500000004, -96.941848]",2199.4723043494423,0.0,80
user_00839c9b,12,"[40.70301, -74.094769]","[32.966581500000004, -96.941848]",2199.4723043494423,0.0,100
user_0089c6ed,0,"[40.833397, -73.916811]","[40.767058, -73.997]",9.998689197234983,1.0,0
user_0089c6ed,3,"[40.833397, -73.916811]","[40.767058, -73.997]",9.998689197234983,1.0,5
user_0089c6ed,7,"[40.833397, -73.916811]","[40.767058, -73.997]",9.998689197234983,1.0,10
user_0089c6ed,14,"[40.833397, -73.916811]","[40.767058, -73.997]",9.998689197234983,1.0,20
user_0089c6ed,29,"[40.833397, -73.916811]","[40.767058, -73.997]",9.998689197234983,1.0,40
user_0089c6ed,44,"[40.833397, -73.916811]","[40.9112535, -73.7748885]",14.74275214348623,1.0,60
user_0089c6ed,59,"[40.833397, -73.916811]","[40.862080999999996, -73.893029]",3.7649157036855985,1.0,80
user_0089c6ed,74,"[40.833397, -73.916811]","[43.027428, -77.610271]",390.9217565401726,0.0,100
user_00b5310f,0,"[30.172103999999997, -97.82860699999999]","[40.9112535, -73.7748885]",2470.526594889558,0.0,0
user_00b5310f,0,"[30.172103999999997, -97.82860699999999]","[40.9112535, -73.7748885]",2470.526594889558,0.0,5
user_00b5310f,0,"[30.172103999999997, -97.82860699999999]","[40.9112535, -73.7748885]",2470.526594889558,0.0,10
user_00b5310f,0,"[30.172103999999997, -97.82860699999999]","[40.9112535, -73.7748885]",2470.526594889558,0.0,20
user_00b5310f,0,"[30.172103999999997, -97.82860699999999]","[40.9112535, -73.7748885]",2470.526594889558,0.0,40
user_00b5310f,1,"[30.172103999999997, -97.82860699999999]","[40.0097845, -75.15243749999999]",2325.675079344812,0.0,60
user_00b5310f,1,"[30.172103999999997, -97.82860699999999]","[40.0097845, -75.15243749999999]",2325.675079344812,0.0,80
user_00b5310f,1,"[30.172103999999997, -97.82860699999999]","[40.0097845, -75.15243749999999]",2325.675079344812,0.0,100
user_00bc828f,0,"[40.825037, -73.86694]","[39.307559999999995, -76.65441700000001]",291.07459979968513,0.0,0
user_00bc828f,0,"[40.825037, -73.86694]","[39.307559999999995, -76.65441700000001]",291.07459979968513,0.0,5
user_00bc828f,1,"[40.825037, -73.86694]","[39.307559999999995, -76.65441700000001]",291.07459979968513,0.0,10
user_00bc828f,2,"[40.825037, -73.86694]","[39.307559999999995, -76.65441700000001]",291.07459979968513,0.0,20
